"";"species";"HEDGE_rank";"HEDGE";"conservation_classification"
"1543";"Helarctos_malayanus";1062,5;0,160548713;"3 Species management"
"1546";"Helarctos_malayanus";1062,5;0,160548713;"4 Education & awareness"
"1549";"Helarctos_malayanus";1062,5;0,160548713;"5 Law & policy"
"2459";"Melursus_ursinus";1062,5;0,160548713;"1 Land/water protection"
"2460";"Melursus_ursinus";1062,5;0,160548713;"2 Land/water management"
"2461";"Melursus_ursinus";1062,5;0,160548713;"3 Species management"
"2463";"Melursus_ursinus";1062,5;0,160548713;"4 Education & awareness"
"1992";"Lonchorhina_marinkellei";1064;0,160050351;"1 Land/water protection"
"4329";"Sicista_caucasica";1065;0,159947478;"None"
"3564";"Poiana_leightoni";1066;0,159464142;"None"
"4002";"Rattus_simalurensis";1067;0,159194911;"None"
"2938";"Neusticomys_venezuelae";1068;0,15881769;"None"
"1138";"Dendromus_ruppi";1069;0,158724861;"None"
"1000";"Cryptotis_gracilis";1070;0,158105642;"None"
"1775";"Lagorchestes_hirsutus";1071;0,157958738;"1 Land/water protection"
"1776";"Lagorchestes_hirsutus";1071;0,157958738;"2 Land/water management"
"1778";"Lagorchestes_hirsutus";1071;0,157958738;"3 Species management"
"3224";"Panthera_pardus";1072;0,157723641;"1 Land/water protection"
"3226";"Panthera_pardus";1072;0,157723641;"2 Land/water management"
"3228";"Panthera_pardus";1072;0,157723641;"3 Species management"
"3235";"Panthera_pardus";1072;0,157723641;"4 Education & awareness"
"3237";"Panthera_pardus";1072;0,157723641;"5 Law & policy"
"3243";"Panthera_pardus";1072;0,157723641;"6 Livelihood, economic & other incentives"
"903";"Conilurus_penicillatus";1073;0,155012647;"1 Land/water protection"
"905";"Conilurus_penicillatus";1073;0,155012647;"2 Land/water management"
"907";"Conilurus_penicillatus";1073;0,155012647;"3 Species management"
"1728";"Hylopetes_sipora";1074;0,1546587;"1 Land/water protection"
"1729";"Hylopetes_sipora";1074;0,1546587;"2 Land/water management"
"657";"Caracal_aurata";1075;0,152797386;"1 Land/water protection"
"659";"Caracal_aurata";1075;0,152797386;"2 Land/water management"
"660";"Caracal_aurata";1075;0,152797386;"5 Law & policy"
"4051";"Rhinolophus_guineensis";1076;0,15249132;"1 Land/water protection"
"4052";"Rhinolophus_guineensis";1076;0,15249132;"2 Land/water management"
"1398";"Funambulus_sublineatus";1077;0,152011783;"1 Land/water protection"
"1399";"Funambulus_sublineatus";1077;0,152011783;"2 Land/water management"
"1400";"Funambulus_sublineatus";1077;0,152011783;"3 Species management"
"2199";"Macaca_siberu";1078;0,151975223;"1 Land/water protection"
"2201";"Macaca_siberu";1078;0,151975223;"2 Land/water management"
"2202";"Macaca_siberu";1078;0,151975223;"3 Species management"
"2204";"Macaca_siberu";1078;0,151975223;"4 Education & awareness"
"2207";"Macaca_siberu";1078;0,151975223;"5 Law & policy"
"2512";"Microgale_monticola";1079;0,151604;"1 Land/water protection"
"968";"Crocidura_tarella";1080;0,151599133;"2 Land/water management"
"3528";"Pithecheir_melanurus";1081,5;0,151119211;"None"
"3529";"Pithecheir_parvus";1081,5;0,151119211;"None"
"1536";"Harpyionycteris_celebensis";1083;0,149373369;"2 Land/water management"
"1537";"Harpyionycteris_celebensis";1083;0,149373369;"3 Species management"
"3862";"Pteropus_mariannus";1084;0,14900255;"2 Land/water management"
"3863";"Pteropus_mariannus";1084;0,14900255;"3 Species management"
"3865";"Pteropus_mariannus";1084;0,14900255;"4 Education & awareness"
"3303";"Pearsonomys_annectens";1085;0,148883957;"None"
"248";"Arielulus_societatis";1086;0,148405965;"None"
"982";"Crocidura_zimmermanni";1087;0,14756575;"None"
"2020";"Lophuromys_cinereus";1088;0,146741453;"1 Land/water protection"
"2021";"Lophuromys_cinereus";1088;0,146741453;"2 Land/water management"
"3140";"Ornithorhynchus_anatinus";1089;0,146681705;"1 Land/water protection"
"3141";"Ornithorhynchus_anatinus";1089;0,146681705;"2 Land/water management"
"3144";"Ornithorhynchus_anatinus";1089;0,146681705;"3 Species management"
"4410";"Sousa_teuszii";1090;0,146357429;"1 Land/water protection"
"4412";"Sousa_teuszii";1090;0,146357429;"2 Land/water management"
"4413";"Sousa_teuszii";1090;0,146357429;"3 Species management"
"4415";"Sousa_teuszii";1090;0,146357429;"5 Law & policy"
"1984";"Lonchophylla_chocoana";1091;0,146272416;"1 Land/water protection"
"4116";"Rhipidomys_cariri";1092;0,145764651;"None"
"2369";"Maxomys_inflatus";1093;0,144531093;"2 Land/water management"
"2421";"Mazama_rufina";1094;0,143635;"1 Land/water protection"
"2423";"Mazama_rufina";1094;0,143635;"2 Land/water management"
"2424";"Mazama_rufina";1094;0,143635;"3 Species management"
"2426";"Mazama_rufina";1094;0,143635;"4 Education & awareness"
"2427";"Mazama_rufina";1094;0,143635;"5 Law & policy"
"2429";"Mazama_rufina";1094;0,143635;"6 Livelihood, economic & other incentives"
"2368";"Maxomys_hylomyoides";1095;0,143592276;"None"
"2028";"Lophuromys_melanonyx";1096;0,1435314;"1 Land/water protection"
"2029";"Lophuromys_melanonyx";1096;0,1435314;"2 Land/water management"
"4119";"Rhogeessa_minutilla";1097;0,14345946;"None"
"1394";"Funambulus_layardi";1098;0,143366773;"1 Land/water protection"
"1395";"Funambulus_layardi";1098;0,143366773;"2 Land/water management"
