"";"species";"LEDGE_rank";"LEDGE";"conservation_classification";"introduced"
"2686";"Tylomys_nudicaudus";1344;4,020847033;"None";"no"
"260";"Blarina_carolinensis";1345;4,017124995;"None";"no"
"440";"Chalinolobus_tuberculatus";1346;4,016353;"None";"no"
"2360";"Spalax_giganteus";1347;4,01583465;"1 Land/water protection";"no"
"2361";"Spalax_giganteus";1347;4,01583465;"2 Land/water management";"no"
"1410";"Myopterus_daubentonii";1348,5;4,010916744;"1 Land/water protection";"no"
"1411";"Myopterus_daubentonii";1348,5;4,010916744;"2 Land/water management";"no"
"1412";"Myopterus_whitleyi";1348,5;4,010916744;"None";"no"
"1897";"Pipistrellus_nanulus";1350;4,009434658;"None";"no"
"590";"Cynomys_ludovicianus";1351;4,009068138;"2 Land/water management";"no"
"711";"Echymipera_kalubu";1352;4,005973436;"None";"no"
"2301";"Sminthopsis_fuliginosus";1353;3,998656077;"None";"no"
"1138";"Lobodon_carcinophaga";1354,5;3,998204934;"2 Land/water management";"no"
"1621";"Ommatophoca_rossii";1354,5;3,998204934;"2 Land/water management";"no"
"412";"Chaerephon_jobensis";1356;3,997105437;"None";"no"
"2548";"Thylogale_thetis";1357;3,992795379;"None";"no"
"1984";"Prionomys_batesi";1358;3,99172159;"None";"no"
"362";"Carpomys_melanurus";1359;3,986284525;"None";"no"
"1309";"Microtus_clarkei";1360;3,982728062;"None";"no"
"520";"Conepatus_humboldtii";1361;3,979566712;"None";"no"
"1661";"Oryzorictes_hova";1362,5;3,978169074;"2 Land/water management";"no"
"1662";"Oryzorictes_tetradactylus";1362,5;3,978169074;"None";"no"
