"";"species";"order";"family";"IUCN_status_real";"IUCN_status_imputed";"GE";"ED";"ED_rank";"EDGE";"EDGE_rank";"HEDGE";"HEDGE_rank";"LEDGE";"LEDGE_rank"
"1633";"Funisciurus_isabella";"Rodentia";"Sciuridae";"LC";"LC";0;4,14254991391006;3262;1,63754904865442;4056;6,09767223000008e-05;4576;1,21947346927772;3773
"1634";"Funisciurus_lemniscatus";"Rodentia";"Sciuridae";"LC";"LC";0;4,34728402608835;3142;1,67658877333055;3971;7,11083587125014e-05;4359;1,42209606589132;3458
"1635";"Funisciurus_leucogenys";"Rodentia";"Sciuridae";"LC";"LC";0;3,88942100901944;3443;1,58707389341308;4182;7,24073987542602e-05;4338;1,44807556768645;3423
"1636";"Funisciurus_pyrropus";"Rodentia";"Sciuridae";"LC";"LC";0;3,83444126969;3497;1,57576556270137;4215;5,62260875250014e-05;4686;1,1244655244125;3933
"1637";"Funisciurus_substriatus";"Rodentia";"Sciuridae";"DD";"LC";0;3,94989571503689;3395;1,59936650868936;4150;6,18332769030341e-05;4555;1,23660370478378;3743
"1638";"Furipterus_horrens";"Chiroptera";"Furipteridae";"LC";"LC";0;24,7648646707284;88,5;3,24901172932038;1182;0,0006318000000445;2114;12,63536820089;186
"1639";"Galago_gallarum";"Primates";"Galagidae";"LC";"LC";0;8,45018218811973;1248;2,24603402048592;2618;0,000208099750072263;2888;4,1617869016952;1272
"1640";"Galago_matschiei";"Primates";"Galagidae";"LC";"LC";0;8,33631268811973;1283;2,23391138715258;2641;0,000196848500000039;2980;3,93677315150079;1387
"1641";"Galago_moholi";"Primates";"Galagidae";"LC";"LC";0;6,90943306311973;1784;2,06805610577471;3049;6,71468222158297e-05;4441;1,34286929749438;3589
"1642";"Galago_senegalensis";"Primates";"Galagidae";"LC";"LC";0;6,98797789645307;1753;2,07793764845573;3023;6,90957474268798e-05;4412;1,38184585279017;3538
"1643";"Galagoides_cocos";"Primates";"Galagidae";"LC";"LC";0;7,3045691047864;1633,5;2,11680585788859;2936,5;9,57608093037431e-05;3962,5;1,91512042526556;2849,5
