"";"species";"range_size"
"426";"Blanfordimys_afghanus";754301,847418086
"427";"Blanfordimys_bucharensis";223496,843679433
"428";"Blarina_brevicauda";5159052,14160024
"429";"Blarina_carolinensis";1313043,95661667
"430";"Blarina_hylophaga";968486,322610876
"431";"Blarinella_griselda";782238,952878015
"432";"Blarinella_quadraticauda";74498,9478931443
"433";"Blarinella_wardi";214184,47519279
"434";"Blarinomys_breviceps";698427,636498228
"435";"Blastocerus_dichotomus";1191983,16629031
"436";"Bootherium_bombifrons";0
"437";"Boromys_offella";0
"438";"Boromys_torrei";0
"439";"Borungaboodie_hatcheri";0
"440";"Bos_gaurus";2886834,23085934
"441";"Bos_javanicus";866050,269257802
"442";"Bos_mutus";884675,006231088
"443";"Bos_primigenius";0
"444";"Bos_sauveli";0
"445";"Boselaphus_tragocamelus";2737836,33507305
"446";"Brachiones_przewalskii";1275794,4826701
"447";"Brachylagus_idahoensis";772926,584391372
"448";"Brachyphylla_cavernarum";195559,738219504
"449";"Brachyphylla_nana";558742,109198582
"450";"Brachyprotoma_obtusata";0
"451";"Brachytarsomys_albicauda";214184,47519279
"452";"Brachytarsomys_villosa";46561,8424332152
"453";"Brachyteles_arachnoides";204872,106706147
"454";"Brachyteles_hypoxanthus";195559,738219504
"455";"Brachyuromys_betsileoensis";158310,264272932
"456";"Brachyuromys_ramirohitra";214184,47519279
"457";"Bradypus_pygmaeus";9312,36848664304
"458";"Bradypus_torquatus";251433,949139362
"459";"Bradypus_tridactylus";1406167,6414831
"460";"Bradypus_variegatus";11137592,7100251
"461";"Brotomys_voratus";0
"462";"Brucepattersonius_albinasus";9312,36848664304
"463";"Brucepattersonius_griserufescens";55874,2109198582
"464";"Brucepattersonius_guarani";18624,7369732861
"465";"Brucepattersonius_igniventris";46561,8424332152
"466";"Brucepattersonius_iheringi";391119,476439007
"467";"Brucepattersonius_misionensis";18624,7369732861
"468";"Brucepattersonius_paradisus";27937,1054599291
"469";"Brucepattersonius_soricinus";55874,2109198582
"470";"Bubalus_arnee";223496,843679433
"471";"Bubalus_depressicornis";325932,897032506
"472";"Bubalus_grovesi";0
"473";"Bubalus_mindorensis";37249,4739465721
"474";"Bubalus_palaeokerabau";0
"475";"Bubalus_quarlesi";270058,686112648
"476";"Budorcas_taxicolor";847425,532284516
"477";"Bullimus_bagobus";325932,897032506
"478";"Bullimus_gamay";18624,7369732861
"479";"Bullimus_luzonicus";139685,527299646
"480";"Bunolagus_monticularis";176935,001246218
"481";"Bunomys_andrewsi";288683,423085934
